Order ID,Trade date,Instrument code,Market code,Quantity,Price,Transaction type,Exchange rate,Transaction fee,Currency,Amount,Transaction method
e4156f14-331c-4988-8bb8-9f8753488f14,2021-12-06 00:17:14.612571 (UTC),USF,NZX,0.56627431,12.3,BUY,,0.03483,nzd,6.965174013,BUY
f62a3fe3-3423-443c-8bca-1fdfb864a57f,2021-12-13 00:36:41.314181 (UTC),OZY,NZX,0.27665257,4.316,BUY,,0.00597,nzd,1.194029838,BUY
491ea0d7-9631-4d05-97c9-9a10ba7badbe,2021-12-13 00:36:41.314181 (UTC),EUF,NZX,1.99104568,1.999,BUY,,0.0199,nzd,3.980099508,BUY
54aa3e30-422c-4d56-949c-f00e50723c89,2021-12-13 00:36:41.314181 (UTC),FNZ,NZX,0.23093121,3.447,BUY,,0.00398,nzd,0.796019881,BUY
f95d1828-c667-43df-bcfe-c664a49e0bb7,2021-12-13 00:36:41.314181 (UTC),EMF,NZX,2.00475126,1.489,BUY,,0.01493,nzd,2.985074626,BUY
15a6cdb5-f536-442b-8dd3-03727fce8630,2021-12-13 00:36:41.314181 (UTC),APA,NZX,1.6960122,2.347,BUY,,0.0199,nzd,3.980099502,BUY
eb989f65-1bd1-478f-9522-72b08d142dbf,2021-12-13 00:36:41.314181 (UTC),USF,NZX,0.54742118,12.724,BUY,,0.03483,nzd,6.965174098,BUY
9191bca1-5ec5-46c1-9df2-44e01bf3ac3b,2021-12-20 00:52:45.408944 (UTC),OZY,NZX,0.28161081,4.24,BUY,,0.00597,nzd,1.194029834,BUY
59d2527e-a1ab-4186-aa47-01f8af1ca8be,2021-12-20 00:52:45.408944 (UTC),EUF,NZX,2.03695783,1.954,BUY,,0.0199,nzd,3.980099493,BUY
3377ca87-00ef-4624-b926-5f60aab13155,2021-12-20 00:52:45.408944 (UTC),FNZ,NZX,0.23309514,3.415,BUY,,0.00398,nzd,0.796019903,BUY
3fc16dfa-aff6-49a7-8dd7-373b2ea14817,2021-12-20 00:52:45.408944 (UTC),EMF,NZX,2.05725336,1.451,BUY,,0.01493,nzd,2.985074625,BUY
290f0c7b-8905-4e88-9b8b-121ac050de86,2021-12-20 00:52:45.408944 (UTC),APA,NZX,1.70893066,2.329,BUY,,0.0199,nzd,3.980099507,BUY
7324801a-8fb7-4447-9e0e-63aefce9de4c,2021-12-20 00:52:45.408944 (UTC),USF,NZX,0.55779403,12.487,BUY,,0.03483,nzd,6.965174053,BUY
8fb4d6ff-e497-47d3-ab8f-b60cc0d73b86,2021-12-29 00:42:17.493564 (UTC),OZY,NZX,0.27143211,4.399,BUY,,0.00597,nzd,1.194029852,BUY
1a9f8066-56ac-4a7a-b29a-e6c1c389cc3a,2021-12-29 00:42:17.493564 (UTC),EUF,NZX,1.94307298,2.048,BUY,,0.0199,nzd,3.98009951,BUY
8ec21d69-8b85-4177-a511-d167ba22e0f8,2021-12-29 00:42:17.493564 (UTC),FNZ,NZX,0.2281513,3.489,BUY,,0.00398,nzd,0.796019886,BUY
66c3e0cb-e881-40ce-9257-399c7099ee3b,2021-12-29 00:42:17.493564 (UTC),EMF,NZX,2.03204535,1.469,BUY,,0.01493,nzd,2.985074619,BUY
51c6a0a1-d0c7-488f-9126-aa9864ffd09e,2021-12-29 00:42:17.493564 (UTC),APA,NZX,1.69799467,2.344,BUY,,0.0199,nzd,3.980099506,BUY
86e36eda-7081-4217-abe4-bd755087d2b8,2021-12-29 00:42:17.493564 (UTC),USF,NZX,0.54014533,12.895,BUY,,0.03483,nzd,6.96517403,BUY
5bb8d20e-1cf0-460a-9ad6-6a9abe7db43e,2022-01-05 00:40:43.577300 (UTC),OZY,NZX,0.27329585,4.369,BUY,,0.00597,nzd,1.194029858,BUY
74d5d905-ebbb-4e78-9fe2-a0988bfa667c,2022-01-05 00:40:43.577300 (UTC),EUF,NZX,1.93867464,2.053,BUY,,0.0199,nzd,3.980099501,BUY
dfeeb06d-c24a-46ec-8881-1687bd4eb2e4,2022-01-05 00:40:43.577300 (UTC),FNZ,NZX,0.227074,3.506,BUY,,0.00398,nzd,0.796019898,BUY
a1d90f18-fdca-4c7c-8533-1f1f49aea9bf,2022-01-05 00:40:43.577300 (UTC),EMF,NZX,2.02515239,1.474,BUY,,0.01493,nzd,2.985074623,BUY
e15e1dc4-0986-4040-bbbe-2f12928336ec,2022-01-05 00:40:43.577300 (UTC),APA,NZX,1.69727041,2.345,BUY,,0.0199,nzd,3.98009949,BUY
8778d655-b9d5-4e55-a193-8dfe699bd1c4,2022-01-05 00:40:43.577300 (UTC),USF,NZX,0.54258578,12.837,BUY,,0.03483,nzd,6.965174043,BUY
ec9d37a7-7106-4716-87cb-398b2f14b4a3,2022-01-10 00:32:55.757943 (UTC),OZY,NZX,0.2734837,4.366,BUY,,0.00597,nzd,1.194029834,BUY
9c3213c5-fcb5-4710-808d-ad1e68f96032,2022-01-10 00:32:55.757943 (UTC),EUF,NZX,1.94151195,2.05,BUY,,0.0199,nzd,3.980099498,BUY
34514fdf-9a93-4f77-97d1-cb73048d0650,2022-01-10 00:32:55.757943 (UTC),FNZ,NZX,0.23013006,3.459,BUY,,0.00398,nzd,0.796019878,BUY
57cba50a-efad-4dd6-8edc-14fb7d9c354b,2022-01-10 00:32:55.757943 (UTC),EMF,NZX,2.02240828,1.476,BUY,,0.01493,nzd,2.985074621,BUY
3ab00cf9-8fe4-4b39-b9e2-731c46efcd9e,2022-01-10 00:32:55.757943 (UTC),APA,NZX,1.71408247,2.322,BUY,,0.0199,nzd,3.980099495,BUY
d7c02448-2155-4974-a656-ab2936caea8f,2022-01-10 00:32:55.757943 (UTC),USF,NZX,0.55191554,12.62,BUY,,0.03483,nzd,6.965174115,BUY
23109f45-47a1-47c5-82de-f68790749134,2022-01-17 00:40:18.764908 (UTC),OZY,NZX,0.27372508,4.362,BUY,,0.00597,nzd,1.194029858,BUY
91bb8ffe-f7f5-4ef9-a330-fe9a9aa65d5c,2022-01-17 00:40:18.764908 (UTC),EUF,NZX,1.95736142,2.033,BUY,,0.0199,nzd,3.980099494,BUY
3d3c5532-52f2-4175-b736-4be2a9bd1663,2022-01-17 00:40:18.764908 (UTC),FNZ,NZX,0.23226788,3.427,BUY,,0.00398,nzd,0.796019884,BUY
8ee3d3e1-9a69-42e2-a9af-efe4795097f8,2022-01-17 00:40:18.764908 (UTC),EMF,NZX,1.98343829,1.505,BUY,,0.01493,nzd,2.985074626,BUY
50cefb5a-43af-4ca1-bccc-ff7382717233,2022-01-17 00:40:18.764908 (UTC),APA,NZX,1.7067322,2.332,BUY,,0.0199,nzd,3.98009949,BUY
47b3d3f5-5712-4bb0-9d5b-89ae65c012b5,2022-01-17 00:40:18.764908 (UTC),USF,NZX,0.55681302,12.509,BUY,,0.03483,nzd,6.965174067,BUY
449cc42a-0a0f-4c0b-8fe5-adc421434744,2022-01-23 23:57:34.010213 (UTC),OZY,NZX,0.28154441,4.241,BUY,,0.00597,nzd,1.194029843,BUY
bb8c19d6-19b8-44b4-baf9-9c7a268ce997,2022-01-23 23:57:34.010213 (UTC),EUF,NZX,1.99104527,1.999,BUY,,0.0199,nzd,3.980099495,BUY
e1d5914d-82a1-445b-94e0-fc54220c042d,2022-01-23 23:57:34.010213 (UTC),FNZ,NZX,0.2437293,3.266,BUY,,0.00398,nzd,0.796019894,BUY
abfcff82-d024-4d44-a491-db8bd3aeb4a6,2022-01-23 23:57:34.010213 (UTC),EMF,NZX,1.99030053,1.5,BUY,,0.01493,nzd,2.985074628,BUY
ac5f2ed2-da6e-4b1d-acc7-2135945dfa97,2022-01-23 23:57:34.010213 (UTC),APA,NZX,1.74336378,2.283,BUY,,0.0199,nzd,3.98009951,BUY
66082770-4618-4ec1-8158-401d43e1d356,2022-01-23 23:57:34.010213 (UTC),USF,NZX,0.58047955,11.999,BUY,,0.03483,nzd,6.96517412,BUY
